time,db,mem,slot,peers
1601464498,0,5337575424,961,28
1601464499,0,5337640960,961,27
1601464500,0,5339336704,961,27
1601464501,0,5339389952,961,27
1601464502,0,5340143616,961,27
1601464503,0,5340303360,961,27
1601464504,0,5342339072,961,28
1601464505,0,5342339072,961,28
1601464506,0,5342339072,961,28
1601464507,0,5342416896,961,29
1601464508,0,5342478336,961,29
1601464509,0,5352837120,961,30
1601464510,0,5353119744,1025,30
1601464511,0,5353144320,1025,30
1601464512,0,5354754048,1025,30
1601464513,0,5354844160,1025,30
1601464514,0,5355479040,1025,30
1601464515,0,5356281856,1025,30
1601464517,0,5356617728,1025,31
1601464518,0,5373960192,1025,31
1601464519,0,5380186112,1025,31
1601464520,0,5381865472,1025,34
1601464521,0,5384110080,1066,34
1601464522,0,5384642560,1066,35
1601464523,0,5385158656,1066,35
1601464524,0,5386416128,1066,35
1601464525,0,5387128832,1066,37
1601464526,0,5387620352,1066,37
1601464527,0,5398491136,1066,37
1601464528,0,5398786048,1066,37
1601464529,0,5399797760,1066,37
1601464530,0,5400031232,1066,37
1601464531,0,5400150016,1066,37
1601464532,0,5400293376,1110,37
1601464533,0,5402316800,1110,36
1601464534,0,5402492928,1110,36
1601464535,0,5403299840,1110,36
1601464536,0,5407391744,1110,36
1601464537,0,5407973376,1110,36
1601464538,0,5408165888,1110,36
1601464540,0,5408239616,1110,36
1601464541,0,5408522240,1110,36
1601464542,0,5408681984,1110,36
1601464543,0,5408792576,1110,36
1601464544,0,5409955840,1110,36
1601464545,0,5410910208,1110,36
1601464546,0,5410942976,1152,36
1601464547,0,5411078144,1152,35
1601464548,0,5411348480,1152,35
1601464549,0,5411594240,1152,35
1601464550,0,5411819520,1152,37
1601464551,0,5412864000,1152,37
1601464552,0,5413163008,1152,37
1601464553,0,5413322752,1152,37
1601464554,0,5413609472,1152,37
1601464555,0,5415075840,1152,37
1601464556,0,5415952384,1152,39
1601464557,0,5416235008,1217,39
1601464558,0,5416411136,1217,39
1601464559,0,5417754624,1217,39
1601464561,0,5418516480,1217,39
1601464562,0,5452693504,1217,39
1601464563,0,5452849152,1217,39
1601464564,0,5454049280,1217,39
1601464565,0,5454131200,1217,39
1601464566,0,5454303232,1217,39
1601464567,0,5454503936,1217,39
1601464568,0,5454901248,1217,39
1601464569,0,5455187968,1313,39
1601464570,0,5455323136,1313,40
1601464571,0,5455474688,1313,40
1601464572,0,5456080896,1313,40
1601464573,0,5468303360,1313,40
1601464574,0,5468680192,1313,40
1601464575,0,5469044736,1313,40
1601464576,0,5490044928,1313,40
1601464577,0,5481422848,1313,40
1601464578,0,5481496576,1313,40
1601464579,0,5481807872,1313,40
1601464580,0,5499056128,1313,39
1601464581,0,5516337152,1408,40
1601464582,0,5516353536,1408,39
1601464583,0,5516619776,1408,40
1601464585,0,5536440320,1408,41
1601464586,0,5536444416,1408,41
1601464587,0,5536509952,1408,41
1601464588,0,5536567296,1408,41
1601464589,0,5536993280,1408,40
1601464590,0,5537136640,1408,40
1601464591,0,5537140736,1408,41
1601464592,0,5537140736,1408,41
1601464593,0,5537300480,1510,40
1601464594,0,5537300480,1510,40
1601464595,0,5537300480,1510,40
1601464596,0,5538181120,1510,41
1601464597,0,5641801728,1510,41
1601464598,0,5649235968,1510,41
1601464599,0,5650128896,1510,41
1601464600,0,5650145280,1510,41
1601464601,0,5650481152,1510,41
1601464602,0,5651550208,1510,41
1601464603,0,5651607552,1510,41
1601464604,0,5651955712,1510,42
1601464605,0,5652049920,1600,42
1601464606,0,5652197376,1600,42
1601464607,0,5652213760,1600,43
1601464608,0,6132281344,1600,43
1601464609,0,6446485504,1600,43
1601464611,0,6447788032,1600,44
1601464612,0,6450216960,1600,44
1601464613,0,6451142656,1600,44
1601464614,0,6480347136,1600,44
1601464615,0,6480789504,1600,44
1601464616,0,6480801792,1600,44
1601464617,0,6480863232,1600,44
1601464618,0,6481313792,1697,44
1601464619,0,6481313792,1697,45
1601464620,0,6481940480,1697,45
1601464621,0,6482018304,1697,44
1601464622,0,6482100224,1697,45
1601464623,0,6482219008,1697,45
1601464624,0,6482599936,1697,45
1601464625,0,6482657280,1697,45
1601464626,0,6482817024,1697,45
1601464627,0,6483226624,1697,45
1601464628,0,6483435520,1697,45
1601464629,0,6483718144,1760,45
1601464630,0,6483722240,1760,45
1601464631,0,6483755008,1760,45
1601464632,0,6484525056,1760,45
1601464633,0,6484541440,1760,45
1601464634,0,6484541440,1760,45
1601464635,0,6484566016,1760,45
1601464637,0,6484701184,1760,45
1601464638,0,6485266432,1760,45
1601464639,0,6485499904,1760,46
1601464640,0,6485504000,1760,46
1601464641,0,6485520384,1849,46
1601464642,0,6485921792,1849,46
1601464643,0,6491721728,1849,46
1601464644,0,6491791360,1849,46
1601464645,0,6491791360,1849,46
1601464646,0,6492274688,1849,46
1601464647,0,6492409856,1849,46
1601464648,0,6509760512,1849,46
1601464649,0,6510153728,1849,46
1601464650,0,6510399488,1849,46
1601464651,0,6510559232,1849,46
1601464652,0,6510833664,1931,46
1601464653,0,6510993408,1931,46
1601464654,0,6511505408,1931,46
1601464655,0,6514233344,1931,46
1601464656,0,6514524160,1931,46
1601464657,0,6515458048,1931,46
1601464658,0,6515789824,1931,46
1601464659,0,6516064256,1931,46
1601464660,0,6516178944,1931,46
1601464661,0,6516322304,1931,46
1601464663,0,6516748288,1931,46
1601464664,0,6517059584,1931,46
1601464665,0,6517477376,2016,46
1601464666,0,6517723136,2016,46
1601464667,0,6518054912,2016,46
1601464668,0,6519488512,2016,46
1601464669,0,6520250368,2016,46
1601464670,0,6520446976,2016,46
1601464671,0,6520827904,2016,46
1601464672,0,6521380864,2016,47
1601464673,0,6537248768,2016,47
1601464674,0,6537502720,2016,48
1601464675,0,6537793536,2016,48
1601464676,0,6538047488,2016,48
1601464677,0,6538309632,2112,48
1601464678,0,6538481664,2112,48
1601464679,0,6538878976,2112,48
1601464680,0,6538964992,2112,47
1601464681,0,6539390976,2112,48
1601464682,0,6539509760,2112,48
1601464683,0,6539923456,2112,48
1601464684,0,6541594624,2112,48
1601464685,0,6541688832,2112,48
1601464686,0,6541705216,2112,48
1601464687,0,6542045184,2112,48
1601464688,0,6543048704,2112,48
1601464689,0,6543073280,2215,48
1601464691,0,6543138816,2215,48
1601464692,0,6543151104,2215,48
1601464693,0,6543421440,2215,48
1601464694,0,6543515648,2215,48
1601464695,0,6543515648,2215,49
1601464696,0,6544596992,2215,49
1601464697,0,6706880512,2215,48
1601464698,0,7168434176,2215,48
1601464699,0,7266537472,2215,48
1601464700,0,7267164160,2215,48
1601464701,0,7279878144,2304,48
1601464702,0,7281893376,2304,48
1601464703,0,7283032064,2304,49
1601464704,0,7283486720,2304,49
1601464705,0,7283494912,2304,49
1601464706,0,7283666944,2304,49
1601464707,0,7283769344,2304,49
1601464708,0,7283965952,2304,49
1601464709,0,7284043776,2304,49
1601464710,0,7284043776,2304,49
1601464711,0,7284043776,2304,49
1601464712,0,7792095232,2401,50
1601464713,0,8118128640,2401,50
1601464714,0,8471265280,2401,50
1601464716,0,8704942080,2401,50
1601464717,0,8707375104,2401,50
1601464718,0,8708366336,2401,50
1601464719,0,8709558272,2401,50
1601464720,0,8710516736,2401,50
1601464721,0,8712802304,2401,50
1601464722,0,8713633792,2401,50
1601464723,0,8713650176,2401,50
1601464724,0,8713650176,2401,50
1601464725,0,8713912320,2497,50
1601464726,0,8714227712,2497,50
1601464727,0,8714227712,2497,50
1601464728,0,8714809344,2497,50
1601464729,0,8714813440,2497,50
1601464730,0,8714817536,2497,51
1601464731,0,8714821632,2497,52
1601464732,0,8714821632,2497,52
1601464733,0,8715173888,2497,52
1601464734,0,8715231232,2497,52
1601464735,0,8715464704,2497,52
1601464736,0,8715550720,2497,54
1601464737,0,8716218368,2594,54
1601464738,0,8716374016,2594,54
1601464739,0,8716378112,2594,54
1601464740,0,8716488704,2594,54
1601464742,0,8716492800,2594,54
1601464743,0,8716619776,2594,54
1601464744,0,8716627968,2594,54
1601464745,0,8716812288,2594,55
1601464746,0,8716824576,2594,55
1601464747,0,8716955648,2594,55
1601464748,0,8716967936,2594,56
1601464749,0,8716980224,2688,56
1601464750,0,8717131776,2688,57
1601464751,0,8717271040,2688,57
1601464752,0,8717197312,2688,57
1601464753,0,8717238272,2688,57
1601464754,0,8719622144,2688,57
1601464755,0,8719826944,2688,57
1601464756,0,8719966208,2688,57
1601464757,0,8720080896,2688,57
1601464758,0,8723701760,2688,57
1601464759,0,8725065728,2688,57
1601464760,0,8725356544,2798,57
1601464761,0,8725368832,2798,57
1601464762,0,8725549056,2798,57
1601464763,0,8725549056,2798,57
1601464764,0,8725803008,2798,57
1601464766,0,8726364160,2798,57
1601464767,0,8726396928,2798,57
1601464768,0,8726499328,2798,57
1601464769,0,8726839296,2798,58
1601464770,0,8727183360,2798,58
1601464771,0,8727199744,2798,58
1601464772,0,8727298048,2884,59
1601464773,0,8728711168,2884,59
1601464774,0,8730480640,2884,60
1601464775,0,8730714112,2884,60
1601464776,0,8731107328,2884,60
1601464777,0,8731226112,2884,60
1601464778,0,8731230208,2884,60
1601464779,0,8731525120,2884,60
1601464780,0,8731688960,2884,60
1601464781,0,8731693056,2884,61
1601464782,0,8731717632,2884,61
1601464783,0,8731717632,2884,61
1601464784,0,8731934720,3001,61
1601464785,0,8732086272,3001,61
1601464786,0,8732155904,3001,61
1601464787,0,8732987392,3001,60
1601464788,0,8733786112,3001,60
1601464789,0,8733863936,3001,60
1601464791,0,8734085120,3001,60
1601464792,0,8734814208,3001,60
1601464793,0,8734814208,3001,60
1601464794,0,8734920704,3001,60
1601464795,0,8735182848,3001,60
1601464796,0,8735371264,3001,60
1601464797,0,8735420416,3100,60
1601464798,0,8735502336,3100,60
1601464799,0,8735625216,3100,60
1601464800,0,8735666176,3100,61
1601464801,0,8735666176,3100,61
1601464802,0,8735670272,3100,61
1601464803,0,8735805440,3100,61
1601464804,0,8735842304,3100,62
1601464805,0,8735903744,3100,62
1601464806,0,8735907840,3100,63
1601464807,0,8735907840,3100,63
1601464808,0,8736006144,3100,63
1601464809,0,8736075776,3100,63
1601464810,0,8736129024,3100,63
1601464811,0,8736157696,3100,63
1601464812,0,8736223232,3100,64
1601464813,0,8736227328,3100,64
1601464814,0,8736284672,3100,64
1601464815,0,8736505856,3100,65
1601464816,0,8736579584,3100,66
1601464818,0,8736661504,3100,66
1601464819,0,8736886784,3100,66
1601464820,0,8736993280,3100,66
1601464821,0,8737034240,3296,66
1601464822,0,8737042432,3296,67
1601464823,0,8737083392,3296,67
1601464824,0,8737091584,3296,67
1601464825,0,8748703744,3296,67
1601464826,0,8748814336,3296,67
1601464827,0,8749072384,3296,67
1601464828,0,8752439296,3296,67
1601464829,0,8752513024,3296,67
1601464830,0,8752562176,3296,67
1601464831,0,8752627712,3296,67
1601464832,0,8752635904,3398,67
1601464833,0,8752668672,3398,67
1601464834,0,8752775168,3398,67
1601464835,0,8752803840,3398,67
1601464836,0,8752812032,3398,67
1601464837,0,8752857088,3398,68
1601464838,0,8755027968,3398,68
1601464839,0,8755093504,3398,68
1601464840,0,8755224576,3398,68
1601464841,0,8755261440,3398,68
1601464842,0,8755261440,3398,68
1601464844,0,8755286016,3398,68
1601464845,0,8758468608,3488,68
1601464846,0,8758575104,3488,68
1601464847,0,8758870016,3488,68
1601464848,0,8759111680,3488,68
1601464849,0,8759144448,3488,68
1601464850,0,8759193600,3488,68
1601464851,0,8759242752,3488,68
1601464852,0,8759386112,3488,68
1601464853,0,8770777088,3488,68
1601464854,0,8770854912,3488,68
1601464855,0,8771059712,3488,68
1601464856,0,8771072000,3584,68
1601464857,0,8771129344,3584,68
1601464858,0,8771129344,3584,68
1601464859,0,8771182592,3584,68
1601464860,0,8771186688,3584,68
1601464861,0,8771252224,3584,68
1601464862,0,8771457024,3584,68
1601464863,0,8771457024,3584,68
1601464864,0,8771559424,3584,68
1601464865,0,8771559424,3584,68
1601464866,0,8771629056,3584,69
1601464867,0,8771678208,3584,69
1601464868,0,8771760128,3680,69
1601464870,0,8771760128,3680,69
1601464871,0,8772112384,3680,69
1601464872,0,8772718592,3680,69
1601464873,0,8772747264,3680,69
1601464874,0,8773312512,3680,69
1601464875,0,8773488640,3680,69
1601464876,0,8773488640,3680,69
1601464877,0,8773640192,3680,69
1601464878,0,8773644288,3680,69
1601464879,0,8773648384,3680,69
1601464880,0,8773726208,3745,69
1601464881,0,8779718656,3745,69
1601464882,0,8779776000,3745,69
1601464883,0,8779780096,3745,69
1601464884,0,8779804672,3745,69
1601464885,0,8779804672,3745,69
1601464886,0,8779907072,3745,69
1601464887,0,8780136448,3745,69
1601464888,0,8780144640,3745,69
1601464889,0,8780640256,3745,69
1601464890,0,8780947456,3745,68
1601464891,0,8781139968,3745,68
1601464892,0,8781348864,3798,68
1601464894,0,8781459456,3798,68
1601464895,0,8781574144,3798,68
1601464896,0,8781643776,3798,68
1601464897,0,8781885440,3798,68
1601464898,0,8781991936,3798,68
1601464899,0,8782082048,3798,70
1601464900,0,8782090240,3798,70
1601464901,0,8782204928,3798,70
1601464902,0,8784003072,3798,70
1601464903,0,8784011264,3798,70
1601464904,0,8784019456,3798,70
1601464905,0,8784146432,3798,70
1601464906,0,8784310272,3872,70
1601464907,0,8784396288,3872,70
1601464908,0,8784465920,3872,70
1601464909,0,8784683008,3872,70
1601464910,0,8784814080,3872,70
1601464911,0,8784830464,3872,70
1601464912,0,8785010688,3872,70
1601464913,0,8785166336,3872,70
1601464914,0,8797175808,3872,70
1601464915,0,8797184000,3872,70
1601464916,0,8797224960,3872,70
1601464918,0,8814694400,3872,70
1601464919,0,8814837760,3872,70
1601464920,0,8814968832,3872,70
1601464921,0,8815046656,3872,71
1601464922,0,8817639424,3872,71
1601464923,0,8826519552,3872,71
1601464924,0,8873889792,3872,71
1601464925,0,8874000384,3872,71
1601464926,0,8874016768,3872,71
1601464927,0,8874037248,3872,71
1601464928,0,8874422272,4041,72
1601464929,0,8875048960,4041,72
1601464930,0,8876965888,4041,72
1601464931,0,8876965888,4041,72
1601464932,0,8885645312,4041,72
1601464933,0,8885702656,4041,72
1601464934,0,8885895168,4041,72
1601464935,0,8886005760,4041,73
1601464936,0,8892067840,4041,73
1601464937,0,8892252160,4041,73
1601464938,0,8892456960,4041,73
1601464939,0,8892456960,4041,73
1601464941,0,8912523264,4128,73
1601464942,0,8912527360,4128,73
1601464943,0,8912543744,4128,73
1601464944,0,8912547840,4128,73
1601464945,0,8912560128,4128,73
1601464946,0,8912560128,4128,73
1601464947,0,8912560128,4128,73
1601464948,0,8912560128,4128,73
1601464949,0,8912564224,4128,73
1601464950,0,8912605184,4128,73
1601464951,0,8912609280,4128,73
1601464952,0,8912613376,4128,73
1601464953,0,8912613376,4224,73
1601464954,0,8912642048,4224,73
1601464955,0,8912642048,4224,73
1601464956,0,8912678912,4224,74
1601464957,0,8912678912,4224,74
1601464958,0,8912609280,4224,74
1601464959,0,8912609280,4224,74
1601464960,0,8912613376,4224,74
1601464961,0,8912613376,4224,74
1601464962,0,8912539648,4224,74
1601464963,0,8913874944,4224,73
1601464964,0,8913903616,4224,73
1601464965,0,8913903616,4320,73
1601464967,0,8913903616,4320,73
1601464968,0,8913833984,4320,73
1601464969,0,8913879040,4320,73
1601464970,0,8913879040,4320,73
1601464971,0,8913821696,4320,73
1601464972,0,8913821696,4320,73
1601464973,0,8913825792,4320,73
1601464974,0,8913895424,4320,73
1601464975,0,8913833984,4320,73
1601464976,0,8913833984,4409,73
1601464977,0,8913833984,4409,73
1601464978,0,8913854464,4409,73
1601464979,0,8913858560,4409,73
1601464980,0,8913932288,4409,73
1601464981,0,8913932288,4409,73
1601464982,0,8914010112,4409,73
1601464983,0,8914010112,4409,73
1601464984,0,8914014208,4409,73
1601464985,0,8914014208,4409,73
1601464986,0,8914014208,4409,74
1601464987,0,8914419712,4409,74
1601464988,0,8914419712,4503,74
1601464989,0,8914419712,4503,74
1601464990,0,8914456576,4503,74
1601464992,0,8914563072,4503,74
1601464993,0,8914563072,4503,74
1601464994,0,8914563072,4503,74
1601464995,0,8914571264,4503,74
1601464996,0,8914677760,4503,74
1601464997,0,8914677760,4503,74
1601464998,0,8917434368,4503,74
1601464999,0,8917430272,4503,74
1601465000,0,8917438464,4577,74
1601465001,0,8917553152,4577,73
1601465002,0,8917569536,4577,74
1601465003,0,8917569536,4577,74
1601465004,0,8917626880,4577,74
1601465005,0,8917626880,4577,74
1601465006,0,8918073344,4577,74
1601465007,0,8918122496,4577,74
1601465008,0,8942825472,4577,74
1601465009,0,8942833664,4577,74
1601465010,0,8943009792,4577,74
1601465011,0,8943083520,4577,74
1601465012,0,8943157248,4577,74
1601465013,0,8943226880,4672,74
1601465014,0,8943329280,4672,74
1601465015,0,8943362048,4672,74
1601465016,0,8943673344,4672,74
1601465018,0,8943677440,4672,74
1601465019,0,8943906816,4672,74
1601465020,0,8944062464,4672,74
1601465021,0,8944103424,4672,74
1601465022,0,8952209408,4672,74
1601465023,0,8952418304,4672,74
1601465024,0,8952418304,4672,74
1601465025,0,8952594432,4760,74
1601465026,0,8952729600,4760,74
1601465027,0,8952745984,4760,74
1601465028,0,8952745984,4760,74
1601465029,0,8952999936,4760,74
1601465030,0,8953266176,4760,74
1601465031,0,8953266176,4760,74
1601465032,0,8953528320,4760,74
1601465033,0,8953528320,4760,74
1601465034,0,8953626624,4760,74
1601465035,0,8953626624,4760,74
1601465036,0,8953905152,4818,74
1601465037,0,8953905152,4818,73
1601465038,0,8953913344,4818,73
1601465039,0,8954077184,4818,74
1601465040,0,8954089472,4818,74
1601465041,0,8954089472,4818,74
1601465042,0,8954187776,4818,74
1601465044,0,8971923456,4818,73
1601465045,0,8971923456,4818,73
1601465046,0,8971923456,4818,73
1601465047,0,8971853824,4818,73
1601465048,0,8972722176,4818,73
1601465049,0,8972664832,4905,73
1601465050,0,8972673024,4905,73
1601465051,0,8972673024,4905,73
1601465052,0,8972677120,4905,73
1601465053,0,8972750848,4905,73
1601465054,0,8972759040,4905,73
1601465055,0,8972804096,4905,73
1601465056,0,8972812288,4905,73
1601465057,0,8972902400,4905,73
1601465058,0,8972902400,4905,73
1601465059,0,8972910592,4905,73
1601465060,0,8972910592,4905,73
1601465061,0,8972910592,4996,74
1601465062,0,8972959744,4996,74
1601465063,0,8972959744,4996,74
1601465064,0,8972959744,4996,74
1601465065,0,8972963840,4996,74
1601465066,0,8972963840,4996,74
1601465067,0,8972967936,4996,74
1601465068,0,8972976128,4996,74
1601465070,0,8973029376,4996,74
1601465071,0,8973094912,4996,74
1601465072,0,8973094912,4996,74
1601465073,0,8973103104,5088,74
1601465074,0,8973103104,5088,74
1601465075,0,8973107200,5088,74
1601465076,0,8973115392,5088,74
1601465077,0,8983552000,5088,73
1601465078,0,8983552000,5088,74
1601465079,0,8983564288,5088,74
1601465080,0,8983564288,5088,74
1601465081,0,8983568384,5088,74
1601465082,0,8983597056,5088,74
1601465083,0,8983597056,5088,74
1601465084,0,8983597056,5088,74
1601465085,0,8983609344,5088,74
1601465086,0,8983617536,5188,74
1601465087,0,8983617536,5188,74
1601465088,0,8986456064,5188,73
1601465089,0,8986476544,5188,73
1601465090,0,8986476544,5188,73
1601465091,0,8986599424,5188,73
1601465092,0,8986603520,5188,73
1601465093,0,8986603520,5188,73
1601465094,0,8986607616,5188,73
1601465095,0,8986611712,5188,73
1601465096,0,8986611712,5262,73
1601465098,0,8986628096,5262,73
1601465099,0,8986644480,5262,73
1601465100,0,8986697728,5262,73
1601465101,0,8986701824,5262,74
1601465102,0,8986710016,5262,74
1601465103,0,8986714112,5262,74
1601465104,0,8986726400,5262,74
1601465105,0,8986820608,5262,74
1601465106,0,8986832896,5262,73
1601465107,0,8986841088,5262,73
1601465108,0,8986865664,5356,73
1601465109,0,8986865664,5356,74
1601465110,0,8986882048,5356,74
1601465111,0,8986882048,5356,74
1601465112,0,8986886144,5356,74
1601465113,0,8986886144,5356,74
1601465114,0,8986886144,5356,74
1601465115,0,8986906624,5356,74
1601465116,0,8986980352,5356,74
1601465117,0,8986984448,5356,74
1601465118,0,8987049984,5356,74
1601465119,0,8987049984,5356,73
1601465120,0,8987049984,5356,73
1601465121,0,8987054080,5440,73
1601465123,0,8987058176,5440,73
1601465124,0,8987058176,5440,72
1601465125,0,8987070464,5440,72
1601465126,0,8987070464,5440,73
1601465127,0,8987074560,5440,73
1601465128,0,8987074560,5440,73
1601465129,0,8987074560,5440,73
1601465130,0,8987082752,5440,73
1601465131,0,8987082752,5440,73
1601465132,0,8987086848,5534,73
1601465133,0,8987090944,5534,73
