Sep 30 13:12:12.148 WARN Ethereum 2.0 is pre-release. This software is experimental.
Sep 30 13:12:12.148 INFO Lighthouse started                      version: Lighthouse/v0.2.13-c0e76d2c
Sep 30 13:20:14.000 INFO Syncing                                 est_time: 4 hrs 21 mins, speed: 25.33 slots/sec, distance: 397420 slots (7 weeks 6 days), peers: 26, service: slot_notifier
Sep 30 13:20:26.000 INFO Syncing                                 est_time: 4 hrs 8 mins, speed: 26.67 slots/sec, distance: 397165 slots (7 weeks 6 days), peers: 27, service: slot_notifier
Sep 30 13:20:38.000 INFO Syncing                                 est_time: 4 hrs 8 mins, speed: 26.67 slots/sec, distance: 396910 slots (7 weeks 6 days), peers: 26, service: slot_notifier
Sep 30 13:20:50.001 INFO Syncing                                 est_time: 5 hrs 9 mins, speed: 21.33 slots/sec, distance: 396655 slots (7 weeks 6 days), peers: 27, service: slot_notifier
Sep 30 13:21:02.001 INFO Syncing                                 est_time: 4 hrs 7 mins, speed: 26.67 slots/sec, distance: 396144 slots (7 weeks 6 days), peers: 28, service: slot_notifier
Sep 30 13:21:14.001 INFO Syncing                                 est_time: 4 hrs 7 mins, speed: 26.67 slots/sec, distance: 395889 slots (7 weeks 5 days), peers: 30, service: slot_notifier
Sep 30 13:21:26.000 INFO Syncing                                 est_time: 4 hrs 7 mins, speed: 26.65 slots/sec, distance: 395635 slots (7 weeks 5 days), peers: 32, service: slot_notifier
Sep 30 13:21:38.000 INFO Syncing                                 est_time: 4 hrs 7 mins, speed: 26.65 slots/sec, distance: 395380 slots (7 weeks 5 days), peers: 36, service: slot_notifier
Sep 30 13:21:50.000 INFO Syncing                                 est_time: 5 hrs 8 mins, speed: 21.33 slots/sec, distance: 395124 slots (7 weeks 5 days), peers: 37, service: slot_notifier
Sep 30 13:22:02.000 INFO Syncing                                 est_time: 5 hrs 8 mins, speed: 21.31 slots/sec, distance: 394870 slots (7 weeks 5 days), peers: 40, service: slot_notifier
Sep 30 13:22:14.000 INFO Syncing                                 est_time: 6 hrs 51 mins, speed: 16.00 slots/sec, distance: 394871 slots (7 weeks 5 days), peers: 42, service: slot_notifier
Sep 30 13:22:26.000 INFO Syncing                                 est_time: 10 hrs 16 mins, speed: 10.67 slots/sec, distance: 394872 slots (7 weeks 5 days), peers: 42, service: slot_notifier
Sep 30 13:22:38.000 INFO Syncing                                 est_time: 10 hrs 16 mins, speed: 10.67 slots/sec, distance: 394616 slots (7 weeks 5 days), peers: 43, service: slot_notifier
Sep 30 13:22:50.001 INFO Syncing                                 est_time: 10 hrs 14 mins, speed: 10.69 slots/sec, distance: 394361 slots (7 weeks 5 days), peers: 44, service: slot_notifier
Sep 30 13:23:02.001 INFO Syncing                                 est_time: 6 hrs 49 mins, speed: 16.02 slots/sec, distance: 394106 slots (7 weeks 5 days), peers: 45, service: slot_notifier
Sep 30 13:23:14.000 INFO Syncing                                 est_time: 4 hrs 5 mins, speed: 26.69 slots/sec, distance: 393595 slots (7 weeks 5 days), peers: 44, service: slot_notifier
Sep 30 13:23:26.001 INFO Syncing                                 est_time: 4 hrs 5 mins, speed: 26.67 slots/sec, distance: 393340 slots (7 weeks 5 days), peers: 45, service: slot_notifier
Sep 30 13:23:38.001 INFO Syncing                                 est_time: 3 hrs 24 mins, speed: 32.00 slots/sec, distance: 392829 slots (7 weeks 5 days), peers: 43, service: slot_notifier
Sep 30 13:23:50.000 INFO Syncing                                 est_time: 3 hrs 24 mins, speed: 32.00 slots/sec, distance: 392574 slots (7 weeks 5 days), peers: 48, service: slot_notifier
Sep 30 13:24:02.000 INFO Syncing                                 est_time: 4 hrs 5 mins, speed: 26.65 slots/sec, distance: 392320 slots (7 weeks 5 days), peers: 48, service: slot_notifier
Sep 30 13:24:14.001 INFO Syncing                                 est_time: 4 hrs 5 mins, speed: 26.65 slots/sec, distance: 392065 slots (7 weeks 5 days), peers: 47, service: slot_notifier
Sep 30 13:24:26.000 INFO Syncing                                 est_time: 5 hrs 6 mins, speed: 21.33 slots/sec, distance: 391809 slots (7 weeks 5 days), peers: 47, service: slot_notifier
Sep 30 13:24:38.000 INFO Syncing                                 est_time: 4 hrs 4 mins, speed: 26.67 slots/sec, distance: 391298 slots (7 weeks 5 days), peers: 47, service: slot_notifier
Sep 30 13:24:50.000 INFO Syncing                                 est_time: 4 hrs 4 mins, speed: 26.69 slots/sec, distance: 391043 slots (7 weeks 5 days), peers: 50, service: slot_notifier
Sep 30 13:25:02.000 INFO Syncing                                 est_time: 4 hrs 4 mins, speed: 26.63 slots/sec, distance: 390791 slots (7 weeks 5 days), peers: 50, service: slot_notifier
Sep 30 13:25:14.000 INFO Syncing                                 est_time: 4 hrs 4 mins, speed: 26.67 slots/sec, distance: 390533 slots (7 weeks 5 days), peers: 51, service: slot_notifier
Sep 30 13:25:26.000 INFO Syncing                                 est_time: 4 hrs 3 mins, speed: 26.65 slots/sec, distance: 390023 slots (7 weeks 5 days), peers: 49, service: slot_notifier
Sep 30 13:25:38.000 INFO Syncing                                 est_time: 4 hrs 3 mins, speed: 26.67 slots/sec, distance: 389767 slots (7 weeks 5 days), peers: 49, service: slot_notifier
Sep 30 13:25:50.001 INFO Syncing                                 est_time: 3 hrs 22 mins, speed: 32.06 slots/sec, distance: 389256 slots (7 weeks 5 days), peers: 49, service: slot_notifier
Sep 30 13:26:02.000 INFO Syncing                                 est_time: 3 hrs 22 mins, speed: 32.00 slots/sec, distance: 389001 slots (7 weeks 5 days), peers: 52, service: slot_notifier
Sep 30 13:26:14.000 INFO Syncing                                 est_time: 4 hrs 2 mins, speed: 26.69 slots/sec, distance: 388746 slots (7 weeks 4 days), peers: 51, service: slot_notifier
Sep 30 13:26:26.000 INFO Syncing                                 est_time: 4 hrs 2 mins, speed: 26.65 slots/sec, distance: 388492 slots (7 weeks 4 days), peers: 48, service: slot_notifier
Sep 30 13:26:38.001 INFO Syncing                                 est_time: 5 hrs 3 mins, speed: 21.33 slots/sec, distance: 388236 slots (7 weeks 4 days), peers: 46, service: slot_notifier
Sep 30 13:26:50.000 INFO Syncing                                 est_time: 5 hrs 3 mins, speed: 21.31 slots/sec, distance: 387982 slots (7 weeks 4 days), peers: 49, service: slot_notifier
Sep 30 13:27:02.000 INFO Syncing                                 est_time: 5 hrs 3 mins, speed: 21.31 slots/sec, distance: 387727 slots (7 weeks 4 days), peers: 49, service: slot_notifier
Sep 30 13:27:14.000 INFO Syncing                                 est_time: 5 hrs 2 mins, speed: 21.36 slots/sec, distance: 387471 slots (7 weeks 4 days), peers: 49, service: slot_notifier
Sep 30 13:27:26.001 INFO Syncing                                 est_time: 5 hrs 2 mins, speed: 21.33 slots/sec, distance: 387216 slots (7 weeks 4 days), peers: 49, service: slot_notifier
Sep 30 13:27:38.000 INFO Syncing                                 est_time: 5 hrs 2 mins, speed: 21.36 slots/sec, distance: 386961 slots (7 weeks 4 days), peers: 51, service: slot_notifier
Sep 30 13:27:50.001 INFO Syncing                                 est_time: 4 hrs 14 mins, speed: 25.36 slots/sec, distance: 386514 slots (7 weeks 4 days), peers: 49, service: slot_notifier
Sep 30 13:28:02.000 INFO Syncing                                 est_time: 4 hrs 14 mins, speed: 25.33 slots/sec, distance: 386259 slots (7 weeks 4 days), peers: 51, service: slot_notifier
Sep 30 13:28:14.000 INFO Syncing                                 est_time: 4 hrs 13 mins, speed: 25.33 slots/sec, distance: 386004 slots (7 weeks 4 days), peers: 52, service: slot_notifier
Sep 30 13:28:26.000 INFO Syncing                                 est_time: 3 hrs 29 mins, speed: 30.67 slots/sec, distance: 385493 slots (7 weeks 4 days), peers: 50, service: slot_notifier
Sep 30 13:28:38.001 INFO Syncing                                 est_time: 4 hrs 0 mins, speed: 26.67 slots/sec, distance: 385238 slots (7 weeks 4 days), peers: 50, service: slot_notifier
Sep 30 13:28:50.000 INFO Syncing                                 est_time: 3 hrs 20 mins, speed: 32.00 slots/sec, distance: 384727 slots (7 weeks 4 days), peers: 51, service: slot_notifier
Sep 30 13:29:02.000 INFO Syncing                                 est_time: 3 hrs 20 mins, speed: 32.00 slots/sec, distance: 384472 slots (7 weeks 4 days), peers: 54, service: slot_notifier
Sep 30 13:29:14.000 INFO Syncing                                 est_time: 3 hrs 19 mins, speed: 32.00 slots/sec, distance: 383961 slots (7 weeks 4 days), peers: 50, service: slot_notifier
Sep 30 13:29:26.000 INFO Syncing                                 est_time: 3 hrs 19 mins, speed: 32.00 slots/sec, distance: 383706 slots (7 weeks 4 days), peers: 50, service: slot_notifier
Sep 30 13:29:38.000 INFO Syncing                                 est_time: 3 hrs 59 mins, speed: 26.67 slots/sec, distance: 383451 slots (7 weeks 4 days), peers: 51, service: slot_notifier
Sep 30 13:29:50.000 INFO Syncing                                 est_time: 3 hrs 59 mins, speed: 26.67 slots/sec, distance: 383196 slots (7 weeks 4 days), peers: 50, service: slot_notifier
Sep 30 13:30:02.000 INFO Syncing                                 est_time: 3 hrs 59 mins, speed: 26.67 slots/sec, distance: 382685 slots (7 weeks 4 days), peers: 50, service: slot_notifier
Sep 30 13:30:14.000 INFO Syncing                                 est_time: 3 hrs 59 mins, speed: 26.67 slots/sec, distance: 382430 slots (7 weeks 4 days), peers: 50, service: slot_notifier
Sep 30 13:30:26.001 INFO Syncing                                 est_time: 3 hrs 19 mins, speed: 31.96 slots/sec, distance: 381921 slots (7 weeks 4 days), peers: 53, service: slot_notifier
Sep 30 13:30:38.001 INFO Syncing                                 est_time: 3 hrs 18 mins, speed: 32.00 slots/sec, distance: 381664 slots (7 weeks 4 days), peers: 52, service: slot_notifier
Sep 30 13:30:50.000 INFO Syncing                                 est_time: 3 hrs 18 mins, speed: 32.00 slots/sec, distance: 381153 slots (7 weeks 3 days), peers: 51, service: slot_notifier
Sep 30 13:31:02.001 INFO Syncing                                 est_time: 3 hrs 18 mins, speed: 31.98 slots/sec, distance: 380899 slots (7 weeks 3 days), peers: 51, service: slot_notifier
Sep 30 13:31:14.000 INFO Syncing                                 est_time: 3 hrs 17 mins, speed: 32.04 slots/sec, distance: 380387 slots (7 weeks 3 days), peers: 50, service: slot_notifier
Sep 30 13:31:26.000 INFO Syncing                                 est_time: 3 hrs 17 mins, speed: 32.00 slots/sec, distance: 380132 slots (7 weeks 3 days), peers: 52, service: slot_notifier
Sep 30 13:31:38.000 INFO Syncing                                 est_time: 3 hrs 17 mins, speed: 32.00 slots/sec, distance: 379621 slots (7 weeks 3 days), peers: 53, service: slot_notifier
Sep 30 13:31:50.000 INFO Syncing                                 est_time: 3 hrs 17 mins, speed: 32.02 slots/sec, distance: 379366 slots (7 weeks 3 days), peers: 51, service: slot_notifier
Sep 30 13:32:02.000 INFO Syncing                                 est_time: 3 hrs 17 mins, speed: 32.00 slots/sec, distance: 378855 slots (7 weeks 3 days), peers: 54, service: slot_notifier
Sep 30 13:32:14.001 INFO Syncing                                 est_time: 3 hrs 17 mins, speed: 31.98 slots/sec, distance: 378601 slots (7 weeks 3 days), peers: 50, service: slot_notifier
Sep 30 13:32:26.001 INFO Syncing                                 est_time: 3 hrs 16 mins, speed: 32.00 slots/sec, distance: 378089 slots (7 weeks 3 days), peers: 50, service: slot_notifier
Sep 30 13:32:38.000 INFO Syncing                                 est_time: 2 hrs 48 mins, speed: 37.29 slots/sec, distance: 377580 slots (7 weeks 3 days), peers: 54, service: slot_notifier
Sep 30 13:32:50.000 INFO Syncing                                 est_time: 3 hrs 16 mins, speed: 31.98 slots/sec, distance: 377324 slots (7 weeks 3 days), peers: 53, service: slot_notifier
Sep 30 13:33:02.001 INFO Syncing                                 est_time: 3 hrs 16 mins, speed: 32.02 slots/sec, distance: 377068 slots (7 weeks 3 days), peers: 55, service: slot_notifier
Sep 30 13:33:14.001 INFO Syncing                                 est_time: 3 hrs 16 mins, speed: 32.00 slots/sec, distance: 376557 slots (7 weeks 3 days), peers: 50, service: slot_notifier
Sep 30 13:33:26.000 INFO Syncing                                 est_time: 3 hrs 54 mins, speed: 26.71 slots/sec, distance: 376302 slots (7 weeks 3 days), peers: 53, service: slot_notifier
Sep 30 13:33:38.000 INFO Syncing                                 est_time: 3 hrs 15 mins, speed: 32.02 slots/sec, distance: 375791 slots (7 weeks 3 days), peers: 54, service: slot_notifier
Sep 30 13:33:50.000 INFO Syncing                                 est_time: 3 hrs 15 mins, speed: 32.00 slots/sec, distance: 375536 slots (7 weeks 3 days), peers: 52, service: slot_notifier
Sep 30 13:34:02.000 INFO Syncing                                 est_time: 3 hrs 54 mins, speed: 26.67 slots/sec, distance: 375281 slots (7 weeks 3 days), peers: 52, service: slot_notifier
Sep 30 13:34:14.000 INFO Syncing                                 est_time: 3 hrs 23 mins, speed: 30.67 slots/sec, distance: 374834 slots (7 weeks 3 days), peers: 50, service: slot_notifier
Sep 30 13:34:26.000 INFO Syncing                                 est_time: 3 hrs 23 mins, speed: 30.67 slots/sec, distance: 374323 slots (7 weeks 2 days), peers: 50, service: slot_notifier
Sep 30 13:34:38.000 INFO Syncing                                 est_time: 3 hrs 23 mins, speed: 30.67 slots/sec, distance: 374068 slots (7 weeks 2 days), peers: 51, service: slot_notifier
Sep 30 13:34:43.530 INFO Imported deposit log(s)                 new: 1, total: 77510, latest_block: 3491899, service: eth1_rpc
Sep 30 13:34:50.001 INFO Syncing                                 est_time: 2 hrs 53 mins, speed: 35.96 slots/sec, distance: 373559 slots (7 weeks 2 days), peers: 50, service: slot_notifier
Sep 30 13:34:57.454 INFO Imported deposit log(s)                 new: 1, total: 77510, latest_block: 3491899, service: eth1_rpc
Sep 30 13:35:02.001 INFO Syncing                                 est_time: 2 hrs 46 mins, speed: 37.34 slots/sec, distance: 373046 slots (7 weeks 2 days), peers: 52, service: slot_notifier
Sep 30 13:35:14.000 INFO Syncing                                 est_time: 3 hrs 14 mins, speed: 32.00 slots/sec, distance: 372791 slots (7 weeks 2 days), peers: 50, service: slot_notifier
Sep 30 13:35:26.001 INFO Syncing                                 est_time: 3 hrs 14 mins, speed: 32.00 slots/sec, distance: 372536 slots (7 weeks 2 days), peers: 51, service: slot_notifier
Sep 30 13:35:38.000 INFO Syncing                                 est_time: 3 hrs 13 mins, speed: 32.02 slots/sec, distance: 372026 slots (7 weeks 2 days), peers: 51, service: slot_notifier
Sep 30 13:35:50.000 INFO Syncing                                 est_time: 3 hrs 52 mins, speed: 26.67 slots/sec, distance: 371770 slots (7 weeks 2 days), peers: 53, service: slot_notifier
Sep 30 13:36:02.000 INFO Syncing                                 est_time: 3 hrs 13 mins, speed: 32.00 slots/sec, distance: 371259 slots (7 weeks 2 days), peers: 55, service: slot_notifier
Sep 30 13:36:14.000 INFO Syncing                                 est_time: 2 hrs 45 mins, speed: 37.31 slots/sec, distance: 370749 slots (7 weeks 2 days), peers: 51, service: slot_notifier
Sep 30 13:36:26.000 INFO Syncing                                 est_time: 3 hrs 12 mins, speed: 32.02 slots/sec, distance: 370493 slots (7 weeks 2 days), peers: 50, service: slot_notifier
Sep 30 13:36:38.000 INFO Syncing                                 est_time: 3 hrs 12 mins, speed: 32.00 slots/sec, distance: 370238 slots (7 weeks 2 days), peers: 51, service: slot_notifier
Sep 30 13:36:50.000 INFO Syncing                                 est_time: 3 hrs 12 mins, speed: 32.00 slots/sec, distance: 369727 slots (7 weeks 2 days), peers: 52, service: slot_notifier
Sep 30 13:37:02.000 INFO Syncing                                 est_time: 3 hrs 12 mins, speed: 32.02 slots/sec, distance: 369216 slots (7 weeks 2 days), peers: 52, service: slot_notifier
Sep 30 13:37:14.000 INFO Syncing                                 est_time: 3 hrs 12 mins, speed: 32.00 slots/sec, distance: 368961 slots (7 weeks 2 days), peers: 51, service: slot_notifier
Sep 30 13:37:26.001 INFO Syncing                                 est_time: 3 hrs 12 mins, speed: 32.00 slots/sec, distance: 368706 slots (7 weeks 2 days), peers: 51, service: slot_notifier
Sep 30 13:37:38.000 INFO Syncing                                 est_time: 3 hrs 50 mins, speed: 26.67 slots/sec, distance: 368451 slots (7 weeks 2 days), peers: 55, service: slot_notifier
Sep 30 13:37:50.000 INFO Syncing                                 est_time: 3 hrs 50 mins, speed: 26.65 slots/sec, distance: 367941 slots (7 weeks 2 days), peers: 52, service: slot_notifier
Sep 30 13:38:02.000 INFO Syncing                                 est_time: 3 hrs 49 mins, speed: 26.67 slots/sec, distance: 367685 slots (7 weeks 2 days), peers: 51, service: slot_notifier
Sep 30 13:38:14.001 INFO Syncing                                 est_time: 3 hrs 49 mins, speed: 26.65 slots/sec, distance: 367431 slots (7 weeks 2 days), peers: 50, service: slot_notifier
Sep 30 13:38:26.000 INFO Syncing                                 est_time: 3 hrs 11 mins, speed: 32.00 slots/sec, distance: 366919 slots (7 weeks 1 days), peers: 50, service: slot_notifier
Sep 30 13:38:38.000 INFO Syncing                                 est_time: 3 hrs 48 mins, speed: 26.69 slots/sec, distance: 366664 slots (7 weeks 1 days), peers: 53, service: slot_notifier
Sep 30 13:38:50.001 INFO Syncing                                 est_time: 3 hrs 10 mins, speed: 32.00 slots/sec, distance: 366153 slots (7 weeks 1 days), peers: 51, service: slot_notifier
Sep 30 13:39:02.001 INFO Syncing                                 est_time: 3 hrs 10 mins, speed: 32.02 slots/sec, distance: 365898 slots (7 weeks 1 days), peers: 50, service: slot_notifier
Sep 30 13:39:14.001 INFO Syncing                                 est_time: 3 hrs 10 mins, speed: 32.00 slots/sec, distance: 365387 slots (7 weeks 1 days), peers: 49, service: slot_notifier
Sep 30 13:39:26.000 INFO Syncing                                 est_time: 3 hrs 10 mins, speed: 31.98 slots/sec, distance: 365133 slots (7 weeks 1 days), peers: 49, service: slot_notifier
Sep 30 13:39:38.001 INFO Syncing                                 est_time: 3 hrs 48 mins, speed: 26.67 slots/sec, distance: 364877 slots (7 weeks 1 days), peers: 49, service: slot_notifier
Sep 30 13:39:50.000 INFO Syncing                                 est_time: 3 hrs 9 mins, speed: 32.00 slots/sec, distance: 364366 slots (7 weeks 1 days), peers: 50, service: slot_notifier
Sep 30 13:40:02.000 INFO Syncing                                 est_time: 3 hrs 47 mins, speed: 26.67 slots/sec, distance: 364111 slots (7 weeks 1 days), peers: 54, service: slot_notifier
Sep 30 13:40:14.001 INFO Syncing                                 est_time: 3 hrs 9 mins, speed: 31.98 slots/sec, distance: 363602 slots (7 weeks 1 days), peers: 49, service: slot_notifier
Sep 30 13:40:26.000 INFO Syncing                                 est_time: 3 hrs 9 mins, speed: 32.00 slots/sec, distance: 363345 slots (7 weeks 1 days), peers: 51, service: slot_notifier
Sep 30 13:40:38.001 INFO Syncing                                 est_time: 4 hrs 43 mins, speed: 21.33 slots/sec, distance: 363346 slots (7 weeks 1 days), peers: 52, service: slot_notifier
Sep 30 13:40:50.001 INFO Syncing                                 est_time: 6 hrs 18 mins, speed: 16.00 slots/sec, distance: 363347 slots (7 weeks 1 days), peers: 48, service: slot_notifier
